Date,Close,Volume,Open,High,Low
29-04-2020,177.43,51286560,173.22,177.68,171.88
30-04-2020,179.21,53875860,180,180.4,176.23
01-05-2020,174.57,39370470,175.8,178.64,174.01
04-05-2020,178.84,30372860,174.49,179,173.8
05-05-2020,180.76,36839170,180.62,183.65,179.9
06-05-2020,182.54,32139300,182.08,184.2,181.6306
07-05-2020,183.6,28315990,184.17,184.55,182.58
08-05-2020,184.68,30912640,184.98,185,183.36
11-05-2020,186.74,30892660,183.15,187.51,182.85
12-05-2020,182.51,32038200,186.8,187.04,182.3
13-05-2020,179.75,44711490,182.55,184.05,176.54
14-05-2020,180.53,41873910,177.54,180.69,175.68
15-05-2020,183.16,46610380,179.06,187.06,177
18-05-2020,184.91,35306620,185.75,186.2,183.96
19-05-2020,183.63,26799120,185.03,186.6,183.49
20-05-2020,185.66,31261330,184.81,185.85,183.94
21-05-2020,183.43,29119510,185.4,186.67,183.29
22-05-2020,183.51,20826900,183.19,184.46,182.54
26-05-2020,181.57,36073610,186.34,186.5,181.1
27-05-2020,181.81,39517150,180.2,181.9877,176.6
28-05-2020,181.4,33831820,180.74,184.1474,180.38
29-05-2020,183.25,42146720,182.73,184.27,180.41
01-06-2020,182.83,22668820,182.54,183,181.46
02-06-2020,184.91,30794590,184.25,185,181.35
03-06-2020,185.36,27311020,184.815,185.94,183.58
04-06-2020,182.92,28761810,184.3,185.84,182.3
05-06-2020,187.2,39893640,182.62,187.73,182.01
08-06-2020,188.36,33211590,185.94,188.55,184.44
09-06-2020,189.8,29783920,188,190.7,187.2605
10-06-2020,196.84,43872330,191.125,198.52,191.01
11-06-2020,186.27,52854670,193.13,195.76,186.07
12-06-2020,187.74,43373590,190.54,191.72,185.18
15-06-2020,188.94,32770190,184.58,190.82,184.01
16-06-2020,193.57,42556660,192.89,195.58,191.46
17-06-2020,194.24,25687820,195.03,196.32,193.69
18-06-2020,196.32,23061650,194,196.49,194
19-06-2020,195.15,44441140,198.59,199.29,194.37
22-06-2020,200.57,32818930,195.79,200.76,195.2301
23-06-2020,201.91,30917450,202.09,203.95,201.425
24-06-2020,197.84,36740650,201.604,203.25,196.56
25-06-2020,200.34,27803930,197.8,200.61,195.4675
26-06-2020,196.33,54675780,199.73,199.89,194.88
29-06-2020,198.44,26701590,195.78,198.53,193.55
